text,true_emotion,predicted_emotion
@ZubairSabirPTI  pls dont insult the word 'Molna',anger,anger
"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman #scowl",anger,anger
"You're so thirsty for the chance to disagree w/ the left, that you don't even realize when something is an affront to your bigoted platform.",anger,anger
@__NETFLIXNCHILL I fuck with madden way harder,anger,joy
@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle,anger,joy
Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. #fuming,anger,anger
@IllinoisLoyalty that Rutgers game was an abomination. An affront to God and man. We must never speak of it again.,anger,anger
Ok scrubbed hands 5 times before trying to put them in.\nEyeballs #burning \n#EvenMoreBlind accidentally scared the #cat whilst #screeching,anger,fear
"@reluctantnicko Don't ask, you don't get. Apologies if I've offended you. All due respect Alan, I think you've been fed duff info.",anger,anger
"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",anger,joy
Sting is just too damn earnest for early morning listening. #sting,anger,anger
Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison #anger,anger,anger
My eyes have been dilated. I hate the world right now with the rage of a thousand fiery dragons. I need a drink.,anger,anger
Might just leave and aggravate bae,anger,sadness
Everybody talking about 'the first day of fall' but summer '16 is never gonna die #revenge @Drake,anger,joy
I think @Sam_Canaday &amp; @KYLEJDOWSON must actually have to be working like me &amp; @dowson_brady because I havent got any snap chat videos today,anger,sadness
"@TrevorHMoore @paget_old In Scotland, the right-wingers are the most rabid anti-nationalists. Socialists are mostly in favour.",anger,anger
Hate when guys cant control their anger 🙃🙃,anger,anger
I hope my hustle don't offend nobody,anger,fear
All Brian does is sleep and aggravate me,anger,anger
"Gahh...BT, in queue for 30 minutes.. Now put through to BT Sport dept to cancel... back in a queue again... ",fear,anger
It really is amazing the money they give to some of these QB's #nfl #texans #brock ,fear,joy
@CNNPolitics I can't wait to hear what he had to say about the brilliant Dr. Hawking... it should be rich... In the poorest of taste! ,fear,anger
This is #horrible: Lewis Dunk has begun networking #a Neo-Geo with a his holiday home in Mexico.,fear,anger
Whatt a trailerrrr !!! @karanjohar @AnushkaSharma #RanbirKapoor #AishwaryaRaiBachchan i am COMPLETELY BLOWN !!  #longingformore,fear,joy
The Apocalypse has hit our gym and it's  nothing what I thought it would be...\n\nEveryone is wearing vests! What if it's contagious? #afraid,fear,fear
@CNNPolitics I can't wait to hear what he had to say about the brilliant Dr. Hawking... it should be rich... In the poorest of taste! #bully,fear,anger
"⊰ @FrameOfAnAngel ⊱ \n\n+ Of them. I'm here for answers, and if I scare her to death, there won't be answers for me. \n\nSo instead, I just +",fear,fear
@mikefreemanNFL \nIsn't OBrien supposed to be some sort of offensive genius #awful,fear,anger
@CesarSampao @thisisbolton don't get me started on town centre. Used to go every week.... not been for 18 months #horrible,fear,sadness
Bout ta get my @dontbreathe on up in here! @WarrenTheaters  #icantholdmybreaththatlong,fear,joy
Nothing worse than an uber driver that can't drive. ,fear,anger
@BuzzFeed so this houses will get into my instestines and scare my poop and I'll shit my pants?,fear,fear
Trying to book holiday flights on @britishairways website is becoming a ,fear,anger
"@AlaskaGurus @adventuretweets agreed! 😍 an awe to meet such beautiful, powerful animals.",fear,joy
"@stephenfhayes Mustard gas = hostile work environment, not #terrorism; call #OSHA not #military",fear,anger
My Modern Proverb: 'Don't let anyone intimidate you about being single; most marriages end in divorce.',fear,joy
And I cried in front of my guy last night. And it's just been a horrible week but it's only for a week,fear,sadness
@ChrissyCostanza and have social anxiety. There is many awkward things wrong with me. 😄,fear,joy
@CesarSampao @thisisbolton don't get me started on town centre. Used to go every week.... not been for 18 months ,fear,sadness
"It's #HobbitDay! \nHobbit's give gifts on their birthdays, so I'm sharing the gift of #glee today! Find something that makes you happy!",joy,joy
"@DocBellsSwan *peers down at you, eyes crinkling with mirth and affection* I do love ye so, my bonnie Belle.",joy,joy
@harrietemmett great minds think alike. ,joy,joy
i was so embarrassed when she saw us i was like knvfkkjg she thinks we're stalkers n then she starts waving all cheerfully inviting us in 😩,joy,sadness
4-2 Canada final tomorrow #WCH #Predictions #optimism #Canadian 🇨🇦,joy,joy
Tutoring gives me such an exhilarating feeling. I love helping people 😌,joy,joy
"If you don't respond to an email within 7 fays, you wifl be killed by an animated gif of the girl from The Ring.",joy,fear
Chris would take full responsibility and would want us all to rejoice in the memories we all had with him.,joy,joy
incredible that anthony weiner has been caught chasing a busty milkmaid across a park at double speed while jaunty music plays,joy,joy
@billie21806 @cnnbrk tell that to your bodies cheering on the deaths of black people by cops. their fear is killing us.,joy,anger
@MichiganBromo Good optimism sir :),joy,joy
@hesham786 that's the spirit ,joy,joy
Dolores.' A thin lipped smile graced glossed lips as she let blues peer over at the woman. ' A constant delight.. As always.',joy,joy
@chencouture LMAO Is it that 'so slutty' hater girl? That video was hilarious. 😂,joy,joy
The smell of freshly cut grass didn't even cheer me up...boy oh boy,joy,sadness
@Bluebelle89 @lsmith855 liking the optimism,joy,joy
"@diehimbeertonis She developed her 'forced smile'. I can force myself to describe it 'a little hearty maybe, sanki biraz':)",joy,joy
@hesham786 that's the spirit #optimism,joy,joy
@tomlinmayniac starting my new challenge ! A glee poll every day !,joy,joy
@HunterDean_ [he gives a gleeful squeak and wraps around you] All mine!,joy,joy
"[ @HedgehogDylan ] *she would frown a bit, folding her arms* 'why is it that every time I'm in need of assistance someone expects a lil **",sadness,anger
Remembering those day when u still did'nt know kpop n thinking about how sad your life was without it - Kpop fan,sadness,joy
Wow just watched Me Before You and it was seriously one of the most depressing movies of my life,sadness,sadness
It's basically a dead skin peel which sounds grim. But it literally gets rid of so much dead skin from your pores.,sadness,joy
"Don't be disheartened if you didn't get the cards you wanted, it's not the end of the world......E-Eh...? Y-You want me to cheer you up?",sadness,fear
"We are about a little over an hour away! We will arrive soon, do not fret!",sadness,joy
I can't WAIT to go to work tomorrow with a high as fuck fever. [sarcasm]\nHopefully I'll feel better tomorrow.\nBut I doubt it. #pessimism,sadness,anger
Chalk dance notation entree manchester inasmuch as corinthian products that discourage drag branding: ARwuEVfqv,sadness,anger
"MC: what are you listen to these days?\nBogum: these days I feel gloomy, I listen to ccm (spiritual song) often.\n\nChurch oppa mode. :)",sadness,joy
"Stars, when you shine,\nYou know how I feel.\nScent of the pine, \nYou know how I feel.\nFreedom is mine,\nI know how I feel.\nI'm feelin' good.",sadness,joy
"Hello my dear friends, I will be back online this Friday night. I miss you! #sober #sobriety #recovery",sadness,joy
aaahhhh! a little @OtisRedding to soothe the soul. #music #blues,sadness,joy
“Dyslexia is the affliction of a frozen genius.”― Stephen Richards,sadness,sadness
@kayleighmcenany  @DonaldJTrumpJr Is that really all you can offer for those who sacrifice daily to keep you safe...? @kayleighmcenany ,sadness,anger
"Before the year ends I'll probably get master 12s or flu games, true blues, and space jams.",sadness,joy
All I want to do is watch some netflix but I am stuck here in class. #depressing,sadness,sadness
"@Eeevah14 don't I know it, try not to fret my sweet little pupper",sadness,sadness
aaahhhh! a little @OtisRedding to soothe the soul. #music ,sadness,joy
"@CovinoandRich just heard back2back,  guess that's why they call it the blues &amp; she's got the look, but I can only sing tickle sacks version",sadness,joy
"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",sadness,joy
